time,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW,movement_smoothness,movement_economy,angular_velocity,Timestamp,hidden_state
0.0,0.08183272,-0.16848189,0.18187404,0.06245688,0.9914686,-0.077662215,-0.08401042,0.0,1.0,0.0,2023-05-17 15:13:29.836000000,0
0.012142857142857143,0.08780551048571444,-0.17024460734739896,0.18025010324684923,0.04928928826247318,0.9921182087307486,-0.0791683232621268,-0.08370443363370919,-0.0005609895085380567,0.9998435736036351,0.004005756542350789,2023-05-17 15:13:29.848142857,1
0.024285714285714285,0.08779546722173935,-0.17020739799972953,0.18026506346600832,0.049326184417847294,0.9921092672999383,-0.07925392913309608,-0.08370341397105112,0.010538564109473236,0.9947661822873359,0.002623552303181479,2023-05-17 15:13:29.860285714,1
0.03642857142857143,0.08790837935274816,-0.16996474916749263,0.18033566615350247,0.04919622399036402,0.9920580550838138,-0.07999110351683046,-0.08368842449658588,0.014635893442345923,0.9544933145483855,0.006377427548603623,2023-05-17 15:13:29.872428571,1
0.04857142857142857,0.08796513875506408,-0.16952728182220692,0.18049562281337087,0.04926708783803662,0.9919589729029645,-0.0811668938045581,-0.08368031570151098,0.0108952041992247,0.8902573123836144,0.006316497172243684,2023-05-17 15:13:29.884571429,1
0.060714285714285714,0.08799334994442563,-0.16900759445513708,0.18070823823689464,0.04943309555966686,0.9918382574516684,-0.08251477713202882,-0.08369167536345881,0.0039024630180451193,0.8194611396796646,0.004511984864991053,2023-05-17 15:13:29.896714286,1
0.07285714285714286,0.08801926449074632,-0.16851275779375716,0.18093831729273305,0.04959367748850313,0.9917208829485243,-0.08378137035180094,-0.08373423618222786,-0.0019863410134844783,0.7586128323002882,0.002932389274424695,2023-05-17 15:13:29.908857143,1
0.08499999999999999,0.08805223179776496,-0.16808078497251958,0.18116940510998275,0.04971211166055763,0.9916160516770572,-0.08487744299193517,-0.08380904848780346,-0.005288296722890924,0.7130402133634905,0.0022628792057751462,2023-05-17 15:13:29.921000000,1
0.09714285714285714,0.08809011190283385,-0.1677027467411084,0.18139778564163486,0.04979507703704934,0.9915222448369471,-0.08582534851669628,-0.08390990119412564,-0.006473487866490041,0.6804712777057502,0.002316270974011679,2023-05-17 15:13:29.933142857,1
0.10928571428571429,0.08813054528184909,-0.1673688167816054,0.1816199862792334,0.049850081969610834,0.9914377387482751,-0.08664957275611211,-0.08403044444968577,-0.006049319876667562,0.6584887876669699,0.0028887102634836963,2023-05-17 15:13:29.945285714,1
0.12142857142857143,0.08817117241070693,-0.16706916877609243,0.1818325344143224,0.049884634809874706,0.9913608097311235,-0.08737460154021061,-0.08416432840297539,-0.004523198185809241,0.6446755055870528,0.003776342758540596,2023-05-17 15:13:29.957428571,1
0.13357142857142856,0.08820963376530346,-0.16679397640665122,0.18203195743844588,0.049906243909473534,0.9912897341055735,-0.0880249206990196,-0.08430520320248591,-0.00240252822630082,0.6366141938059009,0.004775314143531781,2023-05-17 15:13:29.969571428,1
0.1457142857142857,0.08824356982153482,-0.1665334133553636,0.1822147827431478,0.04992241762003988,0.9912227881917062,-0.08862501606256695,-0.08444671899670878,-0.00019471543052803825,0.6318876146634167,0.00568177010280665,2023-05-17 15:13:29.981714286,1
0.15785714285714286,0.08827075865168066,-0.16627801459871713,0.1823776743274429,0.0499403457775064,0.9911583183736195,-0.08919856542539896,-0.0845826382732728,0.0016106762690375148,0.6281554559331569,0.006299806173210278,2023-05-17 15:13:29.993857143,1
0.16999999999999998,0.08829135504700439,-0.16602455579519626,0.1825196558277207,0.04996171645757365,0.9910958812596437,-0.08975528928739852,-0.08470866396732264,0.0028322613271450953,0.6244061477138082,0.006570836655847851,2023-05-17 15:13:30.006000000,1
0.18214285714285713,0.08830752095515768,-0.16577508290441131,0.18264174361121632,0.04998357145959593,0.9910360555012352,-0.09029312111206067,-0.084822137735978,0.0035489130776267426,0.6207502526171346,0.006552242542369156,2023-05-17 15:13:30.018142857,1
0.19428571428571428,0.08832148134525501,-0.16553180736490034,0.1827450166136892,0.050002806697368424,0.9909794518403513,-0.09080962426901075,-0.08492045268957701,0.0038476765619891223,0.6173335664000724,0.006305045990859741,2023-05-17 15:13:30.030285714,1
0.20642857142857143,0.0883354611864108,-0.165296940615201,0.18283055377089846,0.05001631808468632,0.9909266810189478,-0.09130236212787397,-0.08500100193845771,0.0038155968217388923,0.6143018848195574,0.005890269159405143,2023-05-17 15:13:30.042428571,1
0.21857142857142858,0.08835168544773955,-0.16507269409385128,0.18289943401860354,0.050021001535344875,0.9908783537789826,-0.09176889805827568,-0.08506117859295823,0.00353971889838272,0.6118010036325264,0.00536893420609091,2023-05-17 15:13:30.054571429,1
0.2307142857142857,0.08837237909835563,-0.16486127923938884,0.18295273629256353,0.05001375296313923,0.9908350808624113,-0.09220679542984102,-0.0850983757634166,0.0031070878334272666,0.6099767185959148,0.004802063289002582,2023-05-17 15:13:30.066714286,1
0.24285714285714285,0.08839976710737356,-0.16466490749035176,0.18299153952853797,0.04999146828186464,0.9907974730111921,-0.09261361761219537,-0.08510998656017098,0.0026047486683791945,0.6089748254666595,0.004250678566225704,2023-05-17 15:13:30.078857143,1
0.255,0.08843597033380395,-0.16448570177811403,0.18301696466450648,0.049951216317716596,0.9907661037748531,-0.09298706345703195,-0.0850935933850386,0.0021179984021005836,0.6089337917686009,0.0037742688365729415,2023-05-17 15:13:30.091000000,1
