time,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW,movement_smoothness,movement_economy,angular_velocity,session_id,hidden_state
0.0,0.110648096,0.049593985,0.2820344,0.27903247,0.9360684,-0.13036671,-0.17006272,0.0,1.0,0.0,0,2
0.016093941078376875,0.11229591,0.0526914,0.28452274,0.2868429,0.9298239,-0.13963877,-0.18343848,0.0007842265356259499,0.9999999767511683,0.0,0,2
0.03218788215675375,0.11228680618612408,0.05272412221365875,0.28451946169034475,0.28687664057111834,0.929798714255982,-0.13965517195560842,-0.18350079650361312,0.0032162899561038313,0.9964857006746939,7.697479205217165e-05,0,2
0.048281823235130625,0.11227371020941868,0.052771193622813704,0.2845147457913311,0.2869251769031891,0.9297624841746707,-0.13967876642178473,-0.1835904397554197,0.0016554988231853125,0.9914303603238139,0.00018770421791228624,0,2
0.0643757643135075,0.11226143308065524,0.05281796953719144,0.28450778688036565,0.2869699436190202,0.9297294082134794,-0.1396967807889843,-0.18367421936748127,0.00013295638074382616,0.9859106205384095,0.00030167230949430373,0,2
0.08046970539188437,0.1122834082643993,0.052852384940007824,0.2844070030449015,0.28685702773365174,0.9298282687236393,-0.13948138027635382,-0.18351272362293183,0.00021035213448438234,0.9609651073653587,0.0005511134049494726,0,2
0.09656364647026125,0.11230538344814335,0.052886800342824204,0.2843062192094374,0.28674411184828336,0.9299271292337993,-0.13926597976372335,-0.18335122787838237,0.0002877478882249385,0.9360195941923077,0.0008005545004046413,0,2
0.11265758754863812,0.1123273586318874,0.05292121574564058,0.2842054353739732,0.2866311959629149,0.9300259897439593,-0.13905057925109288,-0.18318973213383294,0.0003651436419654947,0.9110740810192568,0.0010499955958598102,0,2
0.128751528627015,0.11234933381563146,0.05295563114845696,0.28410465153850906,0.28651828007754654,0.9301248502541193,-0.13883517873846238,-0.1830282363892835,0.00044253939570605087,0.886128567846206,0.001299436691314979,0,2
0.14484546970539186,0.11237130899937552,0.05299004655127334,0.2840038677030449,0.2864053641921781,0.9302237107642792,-0.1386197782258319,-0.18286674064473404,0.000519935149446607,0.861183054673155,0.0015488777867701477,0,2
0.16093941078376875,0.11239002895868075,0.05298716729090235,0.28397464990735594,0.2863089048841949,0.9302811142338336,-0.138548515725403,-0.182779384274597,0.0005680547617668143,0.8539671634564543,0.0014848263935811389,0,2
0.17703335186214564,0.11240871735905333,0.05298392646413673,0.2839461259341276,0.2862126051203622,0.9303381157833431,-0.13847865062226763,-0.1826927466750297,0.0006158905461074275,0.8469231583741517,0.001417735735811726,0,2
0.1931272929405225,0.1124274057594259,0.052980685637371114,0.2839176019608992,0.28611630535652943,0.9303951173328526,-0.13840878551913224,-0.18260610907546235,0.0006637263304480408,0.839879153291849,0.0013506450780423132,0,2
0.20922123401889936,0.11244609415979849,0.05297744481060549,0.2838890779876708,0.28602000559269664,0.9304521188823621,-0.13833892041599688,-0.18251947147589503,0.0007115621147886541,0.8328351482095464,0.0012835544202729004,0,2
0.22531517509727625,0.11246478256017108,0.052974203983839875,0.2838605540144425,0.2859237058288639,0.9305091204318716,-0.13826905531286152,-0.1824328338763277,0.0007593978991292673,0.8257911431272437,0.0012164637625034875,0,2
0.24140911617565314,0.11248347096054365,0.05297096315707425,0.2838320300412141,0.2858274060650311,0.9305661219813811,-0.13819919020972612,-0.18234619627676035,0.0008072336834698806,0.818747138044941,0.0011493731047340747,0,2
0.25750305725403,0.11250022206879105,0.052972520904981224,0.2838064882493676,0.28574158005127565,0.9306163530773333,-0.1381349309878504,-0.18227341667854025,0.00084589097380014,0.812364024286502,0.0010780482418676863,0,2
0.27359699833240686,0.11249816697104968,0.05302066067455276,0.2838098958950551,0.2857574276565212,0.930600860195687,-0.1381250906924482,-0.182335163218398,0.0007954483050779656,0.8123964935014713,0.0009656199582947476,0,2
0.2896909394107837,0.11249611187330831,0.053068800444124285,0.2838133035407426,0.2857732752617667,0.9305853673140407,-0.13811525039704597,-0.18239690975825573,0.0007450056363557912,0.8124289627164405,0.0008531916747218088,0,2
0.30578488048916064,0.11249405677556693,0.05311694021369582,0.2838167111864301,0.2857891228670123,0.9305698744323945,-0.1381054101016438,-0.18245865629811348,0.0006945629676336166,0.8124614319314097,0.0007407633911488696,0,2
0.3218788215675375,0.11249200167782555,0.053165079983267347,0.2838201188321176,0.28580497047225784,0.9305543815507481,-0.13809556980624157,-0.18252040283797122,0.0006441202989114422,0.8124939011463791,0.0006283351075759309,0,2
0.33797276264591436,0.11248994658008418,0.05321321975283888,0.2838235264778051,0.28582081807750337,0.9305388886691018,-0.13808572951083936,-0.18258214937782896,0.0005936776301892679,0.8125263703613483,0.000515906824002992,0,2
0.3540667037242913,0.11248823257651731,0.05326079631341582,0.2838264719366429,0.2858348502306551,0.9305244461423585,-0.13807514155510223,-0.18264191991037404,0.0005441558990479958,0.8124317297403992,0.0004064261792474981,0,2
0.37016064480266814,0.11256847497573108,0.05317304783281663,0.28371836545016416,0.28541267463195474,0.930762377639926,-0.1378849095123866,-0.18222690528586902,0.0007159124451580204,0.7817957732941847,0.0010051894513534612,0,2
0.386254585881045,0.11264871737494485,0.053085299352217445,0.2836102589636854,0.28499049903325446,0.9310003091374933,-0.137694677469671,-0.181811890661364,0.0008876689912680452,0.7511598168479702,0.0016039527234594242,0,2
0.40234852695942186,0.11272895977415862,0.052997550871618254,0.28350215247720667,0.2845683234345541,0.9312382406350607,-0.13750444542695542,-0.18139687603685897,0.0010594255373780697,0.7205238604017556,0.002202715995565387,0,2
